Iteration (t),m,Real number of distinct Integers (n),Estimation,Within 1 StDev range?,Within 2 StDev range?,Sigma,1 StDev lower bound,1 StDev upper bound,2 StDev lower bound,2 StDev upper bound
64,16,1000000,916111.1408613924,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
64,256,1000000,1012457.2686642302,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
64,1024,1000000,983468.5710085174,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
65,16,1000000,1102674.807845323,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
65,256,1000000,1000300.2718016914,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
65,1024,1000000,984533.6947919865,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
66,16,1000000,867894.765026582,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
66,256,1000000,946941.3287658237,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
66,1024,1000000,1081405.3167281433,false,false,0.0325,967500.0,1032500.0,935000.0,1065000.0
67,16,1000000,1433913.0900439182,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
67,256,1000000,973470.1409523524,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
67,1024,1000000,987528.1063929959,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
68,16,1000000,1213311.0761910076,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
68,256,1000000,967877.1853898438,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
68,1024,1000000,1040478.8176609426,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
69,16,1000000,1013351.9882153949,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
69,256,1000000,987364.0607693096,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
69,1024,1000000,1012157.4215040767,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
70,16,1000000,964840.4568646578,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
70,256,1000000,1014538.2874685224,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
70,1024,1000000,968460.0609033518,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
71,16,1000000,893538.2300428577,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
71,256,1000000,990484.6102998647,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
71,1024,1000000,971207.9067444918,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
72,16,1000000,1379391.6797760888,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
72,256,1000000,1010146.9760029176,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
72,1024,1000000,963968.6563655307,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
73,16,1000000,1148038.011965542,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
73,256,1000000,1064650.2903653544,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
73,1024,1000000,1036725.6608560067,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
74,16,1000000,793829.3474422566,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
74,256,1000000,950304.9982560538,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
74,1024,1000000,1006809.6932416656,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
75,16,1000000,1213311.0761910076,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
75,256,1000000,951165.6905377082,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
75,1024,1000000,1014783.4249858895,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
76,16,1000000,1318900.2927738654,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
76,256,1000000,952670.4880377098,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
76,1024,1000000,970425.0882526219,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
77,16,1000000,985815.2494051938,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
77,256,1000000,1002260.3306107569,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
77,1024,1000000,1036446.2653085641,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
78,16,1000000,861710.2417603595,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
78,256,1000000,1221689.66677603,false,false,0.065,935000.0,1065000.0,870000.0,1130000.0
78,1024,1000000,1091468.4801644708,false,false,0.0325,967500.0,1032500.0,935000.0,1065000.0
79,16,1000000,749539.4295304023,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
79,256,1000000,1025626.7871574874,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
79,1024,1000000,1005386.9934923375,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
80,16,1000000,837829.1265152686,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
80,256,1000000,1129232.4901778419,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
80,1024,1000000,1019378.256795053,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
81,16,1000000,1067000.0346503274,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
81,256,1000000,1056266.1408499584,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
81,1024,1000000,1023281.4815228027,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
82,16,1000000,1197293.768254493,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
82,256,1000000,911470.4822757265,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
82,1024,1000000,963502.0611789691,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
83,16,1000000,880534.0091774545,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
83,256,1000000,937962.085016695,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
83,1024,1000000,959261.9605341419,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
84,16,1000000,871020.4364492468,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
84,256,1000000,1052252.3599136304,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
84,1024,1000000,1014493.9692442915,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
85,16,1000000,1563680.6191969507,false,false,0.26,740000.0,1260000.0,480000.0,1520000.0
85,256,1000000,1036372.5352794308,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
85,1024,1000000,1006699.0271501902,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
86,16,1000000,755791.6912106485,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
86,256,1000000,1051630.2361070085,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
86,1024,1000000,985563.1189747581,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
87,16,1000000,609714.3055144729,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
87,256,1000000,1036688.196627326,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
87,1024,1000000,1000730.6656565014,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
88,16,1000000,1185555.5940559194,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
88,256,1000000,1171234.0545741539,false,false,0.065,935000.0,1065000.0,870000.0,1130000.0
88,1024,1000000,1056291.5298085809,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
89,16,1000000,874168.7030870153,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
89,256,1000000,1037058.4774173726,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
89,1024,1000000,1037864.465367797,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
90,16,1000000,2382791.5387921925,false,false,0.26,740000.0,1260000.0,480000.0,1520000.0
90,256,1000000,930112.3181178637,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
90,1024,1000000,957689.414913187,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
91,16,1000000,640388.370310876,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
91,256,1000000,1005952.3768280994,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
91,1024,1000000,1023512.5001886153,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
92,16,1000000,1829911.7870421757,false,false,0.26,740000.0,1260000.0,480000.0,1520000.0
92,256,1000000,1079998.7257308678,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
92,1024,1000000,1045695.3014226187,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
93,16,1000000,897970.3261908697,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
93,256,1000000,1069262.9600519596,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
93,1024,1000000,978616.5494353946,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
94,16,1000000,711333.3564335515,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
94,256,1000000,987996.4923621081,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
94,1024,1000000,987372.4157178644,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
95,16,1000000,727743.2533221892,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
95,256,1000000,1002845.771967646,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
95,1024,1000000,1015900.2364406198,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
96,16,1000000,868934.1599547577,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
96,256,1000000,1058877.646279741,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
96,1024,1000000,1010525.8793699051,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
97,16,1000000,989849.9639320908,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
97,256,1000000,1051736.6735793008,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
97,1024,1000000,1015067.1933851513,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
